step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
49,1786708747.323,1786708747.3281,0.03338,4.4835,-86.6374,79.4725,90.1978,-72.3077,2.5132,11.6356,-49.3338,33.6150,94.8568,-46.5428,2.5654,11.6356,-76.2857,69.1209,94.8568,-61.8681,2.5654,150,900,-900,700,950,0,0
50,1786708747.3563,1786708747.4736,0.03337,6.2418,-84.0879,77.0110,91.7802,-69.5824,2.5132,7.6431,-69.7123,59.2844,92.8769,-60.9815,2.1276,7.6431,-69.7123,62.1758,92.8769,-60.9815,2.1276,550,850,-850,450,900,0,1
51,1786708747.4748,1786708747.4803,0.11844,10.1978,-78.1099,72.1758,93.8022,-63.6923,2.5132,4.9877,-69.0728,58.6377,91.4205,-61.1933,2.2203,4.9877,-69.0728,62.0879,91.4205,-61.1933,2.2203,50,250,-200,100,250,0,1
52,1786708747.5081,1786708747.5137,0.0333,10.6374,-77.7582,71.6484,93.9780,-63.1648,2.5132,4.3329,-66.1171,55.5117,90.6774,-60.1557,2.3404,4.3329,-67.6703,61.5604,90.6774,-60.1557,2.3404,200,100,-150,50,200,0,0
53,1786708747.5415,1786708747.5467,0.03341,10.3736,-76.4396,70.5934,93.8022,-62.4615,2.5132,5.4723,-63.3157,53.2274,89.9447,-58.2232,2.2070,5.4723,-66.0879,60.3297,89.9447,-58.2232,2.2070,-250,450,-300,0,250,0,0
54,1786708747.5749,1786708747.5804,0.03338,8.3516,-73.6264,68.2198,92.3077,-61.5824,2.5132,6.6425,-60.6605,48.3616,91.5748,-55.9804,2.2537,6.6425,-63.1868,57.6923,91.5748,-55.9804,2.2537,-700,750,-850,-550,300,0,0
55,1786708747.6082,1786708747.6129,0.03338,6.1538,-70.7253,65.4945,91.2527,-60.3516,2.5132,7.8822,-52.8599,42.5356,91.6098,-47.2541,2.1396,7.8822,-60.3736,55.1429,91.6098,-50.0000,2.1396,-750,1050,-850,-400,350,0,0
56,1786708747.6416,1786708747.6463,0.03337,5.9780,-68.0000,63.2088,91.5165,-58.5934,2.5132,9.0638,-49.2688,38.7173,92.6410,-44.7521,2.0218,9.0638,-57.6484,52.9451,92.6410,-48.3297,2.0218,50,950,-800,150,500,0,0
57,1786708747.675,1786708747.6806,0.03337,6.8571,-65.2747,60.8352,91.6923,-56.4835,2.5132,9.0536,-43.8649,34.0744,94.0148,-40.7047,2.0620,9.0536,-54.8352,50.4835,94.0148,-46.1319,2.0620,250,950,-800,0,800,0,0
58,1786708747.7084,1786708747.7128,0.03339,8.1758,-62.4615,58.2857,92.0440,-53.4945,2.5132,10.2797,-40.7149,29.4919,94.9610,-39.3702,2.0979,10.2797,-52.0220,48.1099,94.9610,-43.1429,2.0979,450,950,-850,100,1050,0,0
59,1786708747.7418,1786708747.7461,0.0334,8.3516,-59.7363,56.0879,92.9231,-50.6813,2.5132,11.6521,-37.1085,26.2922,97.1194,-36.0358,2.0438,11.6521,-49.3846,45.7363,97.1194,-40.3297,2.0438,50,900,-800,300,950,0,0
60,1786708747.7752,1786708747.7796,0.03341,8.6154,-56.7473,53.7143,93.8022,-48.0440,2.5132,12.9310,-33.6216,22.6010,97.7864,-31.7713,2.1703,12.9310,-46.3956,43.4505,97.7864,-37.6923,2.1703,50,1000,-750,300,900,0,0
61,1786708747.8086,1786708747.8128,0.03338,9.7582,-54.0220,51.3407,94.7692,-45.1429,2.5132,15.4425,-32.0732,21.5551,97.2498,-25.9884,1.9441,15.4425,-43.6703,40.9890,97.2498,-34.8791,1.9441,400,950,-850,250,1050,0,0
62,1786708747.842,1786708747.848,0.03347,11.3407,-51.2967,48.8791,96.0879,-42.5055,2.4471,16.9236,-30.5808,18.7718,96.9476,-21.1163,1.9392,16.9236,-40.7692,38.4396,96.9476,-31.9780,1.9392,550,900,-800,400,950,0,0
63,1786708747.8754,1786708747.8813,0.03337,12.6593,-48.3077,46.5934,96.2637,-39.7802,2.4471,18.3671,-29.3023,18.8369,96.8262,-19.5106,2.0372,18.3671,-37.8681,36.2418,96.8262,-29.4286,2.0372,400,1000,-750,0,900,0,0
64,1786708747.9088,1786708747.9138,0.03338,13.9780,-45.4945,44.2198,96.1758,-37.1429,2.4471,18.7792,-27.2770,15.7858,97.9245,-15.1338,2.0655,18.7792,-35.2308,33.8681,97.9245,-26.6154,2.0655,450,950,-800,0,950,0,0
65,1786708747.9422,1786708747.9471,0.03339,15.7363,-42.7692,41.6703,96.3516,-34.2418,2.4471,21.3093,-23.5583,14.1254,98.5509,-12.6081,2.1067,21.3093,-32.3297,31.4066,98.5509,-23.8022,2.1067,550,1000,-800,50,950,0,0
66,1786708747.9755,1786708747.9801,0.03338,17.2308,-39.7802,39.3846,96.7033,-31.6044,2.4471,21.6105,-21.8796,10.8161,99.2204,-6.6992,2.1289,21.6105,-29.3407,29.0330,99.2204,-21.1648,2.1289,650,1000,-800,150,950,0,0
67,1786708748.009,1786708748.0134,0.03345,17.9341,-36.7912,37.0110,97.4945,-28.7033,2.4471,22.8830,-20.8152,10.1118,98.4620,-1.8314,2.1310,22.8830,-26.5275,26.7473,98.4620,-18.4396,2.1310,300,1000,-800,250,900,0,0
68,1786708748.0423,1786708748.0467,0.0333,19.1648,-33.9780,34.4615,98.1099,-25.9780,2.4471,23.6501,-18.1607,6.8336,99.6611,1.2603,2.1731,23.6501,-23.6264,24.1978,99.6611,-15.5385,2.1731,450,950,-750,200,1000,0,0
69,1786708748.0757,1786708748.081,0.03341,20.6593,-30.9890,32.1758,98.1099,-23.2527,2.4471,24.3991,-16.9445,5.6449,99.8420,3.5454,2.1338,24.3991,-20.5495,21.8242,99.8420,-12.9011,2.1338,400,1000,-850,0,900,0,0
