step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
69,1786709035.7262,1786709035.7307,0.03338,1.0549,-96.1319,95.5604,76.5714,-84.2637,1.5873,1.1591,-95.9236,94.3618,76.6536,-83.6128,1.1165,1.1591,-95.9236,94.3618,76.6536,-83.6128,1.1165,0,0,-50,0,100,0,0
70,1786709035.7596,1786709035.7641,0.03337,1.0549,-96.1319,95.4725,76.5714,-84.1758,1.5873,1.3161,-95.8797,94.1237,76.7309,-83.5629,1.1274,1.3161,-95.8797,94.1237,76.7309,-83.5629,1.1274,0,0,0,0,0,0,0
71,1786709035.793,1786709035.7975,0.0334,1.0549,-96.1319,95.4725,76.5714,-84.0879,1.5873,1.2535,-95.4994,93.8125,76.3963,-83.3175,1.1321,1.2535,-95.4994,93.8125,76.3963,-83.3175,1.1321,0,0,0,0,0,0,0
72,1786709035.8264,1786709035.831,0.03343,1.0549,-96.1319,95.3846,76.5714,-84.0000,1.5873,1.3010,-95.9853,93.6646,76.5782,-83.1769,1.1517,1.3010,-95.9853,93.6646,76.5782,-83.1769,1.1517,0,0,0,0,50,0,0
73,1786709035.8598,1786709035.864,0.0334,1.0549,-96.0440,95.3846,76.5714,-83.7363,1.5873,1.4995,-95.8655,93.1784,76.8887,-82.8745,1.1730,1.4995,-95.8655,93.1784,76.8887,-82.8745,1.1730,0,0,0,0,100,0,0
74,1786709035.8932,1786709035.898,0.0334,1.0549,-96.0440,95.2967,76.5714,-83.6484,1.5873,1.3354,-95.6878,93.0518,76.7081,-82.9093,1.1807,1.3354,-95.6878,93.0518,76.7081,-82.9093,1.1807,0,0,-50,0,50,0,0
75,1786709035.9266,1786709035.9311,0.03337,1.0549,-96.0440,95.1209,76.5714,-83.3846,1.5873,1.4221,-95.9257,92.5272,76.8250,-82.6554,1.1220,1.4221,-95.9257,92.5272,76.8250,-82.6554,1.1220,0,0,-50,0,50,0,0
76,1786709035.9599,1786709035.9649,0.03336,1.0549,-96.0440,95.1209,76.5714,-83.2967,1.5873,1.4605,-95.9722,92.4608,76.8179,-82.6828,1.1517,1.4605,-95.9722,92.4608,76.8179,-82.6828,1.1517,0,0,0,0,0,0,0
77,1786709035.9933,1786709035.998,0.03343,1.0549,-96.0440,94.9451,76.5714,-83.1209,1.5873,1.6776,-96.0035,92.2180,77.0066,-82.3908,1.2651,1.6776,-96.0035,92.2180,77.0066,-82.3908,1.2651,0,0,-50,0,50,0,0
78,1786709036.0268,1786709036.0314,0.03342,1.0549,-96.0440,94.7692,76.5714,-83.0330,1.5873,1.5194,-95.6521,91.5590,77.0220,-82.1186,1.1397,1.5194,-95.6521,91.5590,77.0220,-82.1186,1.1397,0,0,-50,0,50,0,0
