step,t_obs,t_cmd,dt,pos_base,pos_shoulder,pos_elbow,pos_wrist,pos_roll,pos_gripper,cmd_base,cmd_shoulder,cmd_elbow,cmd_wrist,cmd_roll,cmd_gripper,sent_base,sent_shoulder,sent_elbow,sent_wrist,sent_roll,sent_gripper,velraw_base,velraw_shoulder,velraw_elbow,velraw_wrist,velraw_roll,velraw_gripper,chunk_start
58,1787663186.8593,1787663186.8593,0.05699,-0.570641,-0.119651,1.845379,0.727107,0.115049,0.547631,-0.572652,-0.028089,1.838766,0.731232,-0.000477,0.557892,-0.572652,-0.028089,1.838766,0.731232,-0.000477,0.557892,,,,,,,0
59,1787663186.8983,1787663186.8983,0.03898,-0.570641,-0.096641,1.845379,0.727107,0.115049,0.547631,-0.587037,0.002011,1.816711,0.707642,-0.155989,0.540438,-0.587037,0.002011,1.816711,0.707642,-0.155989,0.540438,,,,,,,0
60,1787663186.9553,1787663186.9553,0.05701,-0.578311,-0.062893,1.843845,0.722505,0.079767,0.546097,-0.569584,0.090028,1.809620,0.723562,-0.302671,0.550222,-0.569584,0.090028,1.809620,0.723562,-0.302671,0.550222,,,,,,,1
61,1787663187.0223,1787663187.0223,0.06699,-0.581379,-0.021476,1.842311,0.717903,0.016874,0.544563,-0.587037,0.097118,1.778361,0.706108,-0.372280,0.529701,-0.587037,0.097118,1.778361,0.706108,-0.372280,0.529701,,,,,,,0
62,1787663187.0583,1787663187.0583,0.03601,-0.581379,0.001534,1.836175,0.714835,-0.027612,0.544563,-0.569584,0.159057,1.766669,0.722028,-0.433060,0.545620,-0.569584,0.159057,1.766669,0.722028,-0.433060,0.545620,,,,,,,0
63,1787663187.1103,1787663187.1103,0.052,-0.579845,0.039884,1.830039,0.716369,-0.113515,0.544563,-0.587037,0.167681,1.729274,0.704574,-0.487329,0.528167,-0.587037,0.167681,1.729274,0.704574,-0.487329,0.528167,,,,,,,0
64,1787663187.1483,1787663187.1483,0.03799,-0.576777,0.069029,1.825437,0.719437,-0.171806,0.535359,-0.568050,0.235756,1.703775,0.722028,-0.525099,0.545620,-0.568050,0.235756,1.703775,0.722028,-0.525099,0.545620,,,,,,,0
65,1787663187.2053,1787663187.2053,0.057,-0.573709,0.127320,1.797825,0.719437,-0.279185,0.538427,-0.583969,0.242846,1.663312,0.704574,-0.568630,0.526633,-0.583969,0.242846,1.663312,0.704574,-0.568630,0.526633,,,,,,,0
66,1787663187.2733,1787663187.2733,0.068,-0.575243,0.184078,1.753340,0.713301,-0.385029,0.538427,-0.564982,0.301717,1.640882,0.722028,-0.591060,0.542552,-0.564982,0.301717,1.640882,0.722028,-0.591060,0.542552,,,,,,,0
67,1787663187.3103,1787663187.3103,0.037,-0.575243,0.213223,1.730330,0.713301,-0.431049,0.533825,-0.582435,0.334885,1.583545,0.704574,-0.643795,0.525099,-0.582435,0.334885,1.583545,0.704574,-0.643795,0.525099,,,,,,,0
