step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
69,1786707651.9913,1786707651.9961,0.03333,27.8681,-20.5275,33.0549,89.2308,-7.4286,3.0423,31.3423,3.9610,-6.7693,86.3114,-4.5648,3.7753,31.3423,-10.2637,22.7033,86.3114,-4.5648,3.7753,0,1050,-850,-450,950,0,0
70,1786707652.0247,1786707652.0294,0.03341,28.0440,-17.6264,30.5934,88.4396,-5.7582,3.3069,31.2962,4.4408,-7.3998,86.5459,-3.9535,3.7587,31.2962,-7.2747,20.3297,86.5459,-3.9535,3.7587,50,1000,-850,-250,600,150,0
71,1786707652.0581,1786707652.063,0.03338,29.2747,-14.6374,28.3077,87.6484,-5.7582,3.4392,33.3818,1.3336,-3.3902,84.9381,-2.6107,4.0400,33.3818,-4.1978,17.9560,84.9381,-2.6107,4.0400,400,1000,-800,-200,-150,150,0
72,1786707652.0915,1786707652.0959,0.03343,30.4176,-11.5604,25.8462,87.1209,-5.3187,3.4392,34.8109,2.3595,-1.0983,84.3368,-2.9798,3.7902,34.8109,-1.1209,15.5824,84.3368,-2.9798,3.7902,500,1050,-850,-100,0,0,0
73,1786707652.1249,1786707652.1292,0.03335,31.2967,-8.4835,23.3846,86.6813,-4.2637,3.5053,35.0081,4.6812,-0.7491,84.2251,-4.1783,3.7541,35.0081,1.8681,13.1209,84.2251,-4.1783,3.7541,300,1000,-800,-200,400,50,0
74,1786707652.1583,1786707652.1626,0.03337,32.2637,-5.4066,21.0110,85.2747,-3.9121,3.5053,36.6213,7.6718,-1.4310,82.7686,-8.0357,3.8783,36.6213,4.9451,10.6593,82.7686,-8.0357,3.8783,450,1000,-800,-500,100,0,0
75,1786707652.1916,1786707652.1965,0.03337,33.3187,-2.3297,18.5495,84.9231,-4.2637,3.5053,38.7852,4.9535,0.4439,81.8334,-6.5711,3.8394,38.7852,4.9535,8.1978,81.8334,-6.5711,3.8394,350,1050,-850,-100,-50,0,0
76,1786707652.225,1786707652.23,0.03337,34.7253,0.7473,16.1758,84.3956,-5.2308,3.5714,37.2106,3.2803,4.9367,79.4818,-6.8063,3.5689,37.2106,3.2803,5.8242,79.4818,-6.8063,3.5689,450,1050,-800,-200,-250,0,0
77,1786707652.2585,1786707652.2632,0.03344,35.9560,2.9451,13.8901,82.8132,-6.5495,3.5714,38.2670,8.1930,3.4574,81.1331,-2.7716,3.7986,38.2670,8.1930,3.5385,81.1331,-2.7716,3.7986,400,700,-800,-550,-400,0,0
78,1786707652.2918,1786707652.2967,0.03339,37.0989,3.3846,11.7802,82.0220,-6.6374,3.5714,37.7515,5.3478,4.2830,81.2273,-3.0059,3.6063,37.7515,5.3478,4.2830,81.2273,-3.0059,3.6063,400,250,-650,-300,-200,0,0
