step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
32,1787057992.6913,1787057992.6953,0.03341,0.4396,-97.5385,97.3187,77.3626,-88.3077,2.3148,0.6757,-97.6139,98.7848,77.6361,-87.9763,2.4478,0.6757,-97.6139,98.7848,77.6361,-87.9763,2.4478,0,0,0,50,0,0,0
33,1787057992.7246,1787057992.7287,0.03338,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6881,-97.6210,98.9247,77.6454,-87.8660,2.4395,0.6881,-97.6210,98.9247,77.6454,-87.8660,2.4395,0,0,0,50,0,0,0
34,1787057992.758,1787057992.7622,0.03336,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.7173,-97.4419,98.7558,77.7237,-87.8500,2.4515,0.7173,-97.4419,98.7558,77.7237,-87.8500,2.4515,0,0,0,0,0,0,0
35,1787057992.7915,1787057992.7957,0.03348,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.7907,-97.6116,98.9113,77.5573,-88.1488,2.4279,0.7907,-97.6116,98.9113,77.5573,-88.1488,2.4279,0,0,0,0,0,0,0
36,1787057992.8248,1787057992.8289,0.03331,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.7114,-97.4564,98.5873,77.6547,-88.0499,2.4482,0.7114,-97.4564,98.5873,77.6547,-88.0499,2.4482,0,0,0,0,0,0,0
37,1787057992.8582,1787057992.8623,0.0334,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6960,-97.5183,98.7630,77.6045,-88.1571,2.4604,0.6960,-97.5183,98.7630,77.6045,-88.1571,2.4604,0,0,0,0,0,0,0
38,1787057992.8916,1787057992.8957,0.03339,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6623,-97.6434,98.8788,77.5682,-88.1168,2.5001,0.6623,-97.6434,98.8788,77.5682,-88.1168,2.5001,0,0,0,0,0,0,0
39,1787057992.925,1787057992.9291,0.0334,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.7114,-97.4068,98.8243,77.6048,-88.1575,2.4952,0.7114,-97.4068,98.8243,77.6048,-88.1575,2.4952,0,0,0,0,0,0,0
40,1787057992.9584,1787057992.9626,0.03339,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6550,-97.5034,98.8365,77.5529,-88.2116,2.4484,0.6550,-97.5034,98.8365,77.5529,-88.2116,2.4484,0,0,0,0,0,0,0
41,1787057992.9917,1787057992.9958,0.03336,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6451,-97.4409,98.9283,77.4990,-88.1672,2.5045,0.6451,-97.4409,98.9283,77.4990,-88.1672,2.5045,0,0,0,0,0,0,0
42,1787057993.0252,1787057993.0292,0.03342,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.5772,-97.4319,99.0373,77.5543,-88.1895,2.4568,0.5772,-97.4319,99.0373,77.5543,-88.1895,2.4568,0,0,0,0,0,0,0
43,1787057993.0585,1787057993.0627,0.03336,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.5928,-97.5210,98.8208,77.4491,-88.1056,2.5099,0.5928,-97.5210,98.8208,77.4491,-88.1056,2.5099,0,0,0,0,0,0,0
44,1787057993.0919,1787057993.096,0.03339,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.6059,-97.8224,98.8413,77.5605,-88.2839,2.4608,0.6059,-97.8224,98.8413,77.5605,-88.2839,2.4608,0,0,0,0,0,0,0
45,1787057993.1253,1787057993.1294,0.03339,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.5483,-97.6616,98.6308,77.4437,-88.0878,2.4760,0.5483,-97.6616,98.6308,77.4437,-88.0878,2.4760,0,0,0,0,0,0,0
46,1787057993.1587,1787057993.1629,0.0334,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.4739,-97.6811,98.6203,77.3841,-87.9314,2.4712,0.4739,-97.6811,98.6203,77.3841,-87.9314,2.4712,0,0,0,0,0,0,0
47,1787057993.1921,1787057993.1962,0.03339,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.4167,-97.4778,98.6447,77.4397,-88.1557,2.4470,0.4167,-97.4778,98.6447,77.4397,-88.1557,2.4470,0,0,0,0,0,0,0
48,1787057993.2254,1787057993.2296,0.03336,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.3536,-97.3515,98.4126,77.5138,-88.2012,2.4631,0.3536,-97.3515,98.4126,77.5138,-88.2012,2.4631,0,0,0,0,0,0,0
49,1787057993.2588,1787057993.2631,0.03338,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.3010,-97.3708,98.7506,77.4251,-88.3095,2.5277,0.3010,-97.3708,98.7506,77.4251,-88.3095,2.5277,0,0,0,0,0,0,0
50,1787057993.2922,1787057993.5124,0.03336,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.4114,-98.6513,100.0098,77.4525,-88.1291,2.1660,0.4114,-98.6513,100.0098,77.4525,-88.1291,2.1660,0,0,0,0,0,0,1
51,1787057993.5135,1787057993.5188,0.2213,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.2648,-98.6902,99.8516,77.4912,-88.0409,2.1539,0.2648,-98.6902,99.8516,77.4912,-88.0409,2.1539,0,0,0,0,0,0,1
52,1787057993.5468,1787057993.5511,0.03335,0.4396,-97.6264,97.3187,77.4505,-88.3956,2.3148,0.3143,-99.0849,100.2617,77.4944,-88.1438,2.0352,0.3143,-99.0849,100.2617,77.4944,-88.1438,2.0352,0,0,0,0,0,0,0
53,1787057993.5802,1787057993.5844,0.03338,0.4396,-97.9780,97.3187,77.4505,-88.3956,2.3148,0.3096,-98.8982,100.0546,77.5116,-88.1369,2.0618,0.3096,-98.8982,100.0546,77.5116,-88.1369,2.0618,0,-100,0,0,0,0,0
54,1787057993.6136,1787057993.6179,0.03339,0.4396,-98.4176,97.3187,77.4505,-88.3956,2.3148,0.1549,-98.7981,100.2164,77.4462,-88.1547,2.0878,0.1549,-98.7981,100.2164,77.4462,-88.1547,2.0878,0,-150,0,0,0,0,0
55,1787057993.647,1787057993.6512,0.0334,0.4396,-98.5055,97.3187,77.4505,-88.3956,2.3148,0.3672,-98.9232,100.1161,77.3838,-88.2819,2.0850,0.3672,-98.9232,100.1161,77.3838,-88.2819,2.0850,0,-50,0,0,0,0,0
56,1787057993.6804,1787057993.6846,0.0334,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3962,-99.1187,100.1780,77.3839,-87.9564,2.0479,0.3962,-99.1187,100.1780,77.3839,-87.9564,2.0479,0,0,0,0,0,0,0
57,1787057993.7138,1787057993.718,0.03339,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.2398,-98.8386,100.1917,77.2655,-88.0076,2.0382,0.2398,-98.8386,100.1917,77.2655,-88.0076,2.0382,0,0,0,0,0,0,0
58,1787057993.7472,1787057993.7512,0.03337,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3266,-98.6936,100.0817,77.3006,-88.0089,2.0732,0.3266,-98.6936,100.0817,77.3006,-88.0089,2.0732,0,0,0,0,0,0,0
59,1787057993.7806,1787057993.7862,0.03342,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.2167,-99.0899,100.0088,77.2256,-88.0533,2.0471,0.2167,-99.0899,100.0088,77.2256,-88.0533,2.0471,0,0,0,0,0,0,0
60,1787057993.814,1787057993.8182,0.03339,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3647,-99.0423,100.1797,77.3116,-88.0436,2.0344,0.3647,-99.0423,100.1797,77.3116,-88.0436,2.0344,0,0,0,0,0,0,0
61,1787057993.8474,1787057993.8515,0.0334,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3083,-99.3019,100.2519,77.1795,-88.0871,2.0297,0.3083,-99.3019,100.2519,77.1795,-88.0871,2.0297,0,0,0,0,0,0,0
62,1787057993.8808,1787057993.8859,0.03339,0.4396,-98.5934,97.3187,77.4505,-88.3956,2.3148,0.3078,-99.2813,100.4158,77.2948,-88.2547,2.0454,0.3078,-99.2813,100.4158,77.2948,-88.2547,2.0454,0,0,0,0,0,0,0
